,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원,리퍼비시
585,MSI Stealth 17 Studio A13VG-i9 QHD 64GB램,"3,350,000",노트북,미포함(프리도스),43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900H (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:105W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:240W/충전단자:전용포트/,두께:20.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
586,MSI 모던시리즈 모던 14 C13M-i7 WIN11,"990,000",노트북,윈도우11(설치),35.5cm(14인치)/1920x1080(FHD)/300nit/,인텔/코어i7-13세대/i7-1355U (1.7GHz)/10코어(2P+8E)/,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/DP Alt Mode/ 리프트 힌지 /,키보드 라이트/ㅗ형 방향키/,배터리:39.3Wh/어댑터:65W/충전단자:DC/,두께:19.35mm/무게:1.4kg/ 색상: 블랙,
587,MSI GP시리즈 Vector GP66 12UGSO QHD 64GB램,"1,940,000",노트북,미포함(프리도스),39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:280W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 쿨링팬: 2개 / 색상: 블랙,
588,MSI GE시리즈 레이더 GE76 12UGS QHD WIN10,"3,106,090",노트북,윈도우10,43.9cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:99.9Wh/어댑터:280W/충전단자:DC/,두께:25.9mm/무게:2.9kg/ 색상: 블루,
589,MSI GF시리즈 Sword GF66 A12UE 화이트 WIN10,"1,647,760",노트북,윈도우10,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 색상: 화이트,
590,MSI 사이보그 15 A12VE-i5 32GB램,"1,450,000",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:40W/VRAM:6GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:120W/충전단자:DC/,두께:22.9mm/무게:1.98kg/ 색상: 블랙,
591,MSI Pulse 15 B13VGK QHD 64GB램,"2,638,050",노트북,미포함(프리도스),39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:90Wh/어댑터:240W/충전단자:DC/,두께:26.9mm/무게:2.3kg/ 쿨링팬: 2개 / 색상: 그레이,
592,MSI GL시리즈 Pulse GL76 12UEOK 64GB램,"1,930,000",노트북,미포함(프리도스),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:64GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:24.2mm/무게:2.66kg/ 쿨링팬: 2개 / 색상: 그레이,
593,MSI 모던시리즈 모던14 C12M-i5 WIN10,"990,000",노트북,윈도우10,35.5cm(14인치)/1920x1080(FHD)/300nit/,인텔/코어i5-12세대/i5-1235U (1.3GHz)/10코어(2P+8E)/,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/ 리프트 힌지 /,키보드 라이트/ㅗ형 방향키/,배터리:39.3Wh/어댑터:65W/충전단자:DC/,두께:19.35mm/무게:1.4kg/ 색상: 블랙,
594,MSI GF시리즈 Sword GF66 A12UE 베이직 블랙 WIN11 64GB램,"1,794,120",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR4/램 용량:64GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:24.9mm/무게:2.25kg/ 색상: 블랙,
