,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원,리퍼비시
198,레노버 요가 7 16IAH7 82UF003HKR,"1,740,000",2 in 1,미포함(프리도스),40.8cm(16인치)/2560x1600(WQXGA)/400nit/,인텔/코어i5-12세대/i5-12500H (2.5GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,외장그래픽 /Arc A370M/VRAM:4GB/,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.0/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / SD카드 /,얼굴 인식/ 웹캠OFF 지원 /고속충전/전용 펜 지원/ 전용 펜 포함 /USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/숫자 키패드(4열)/,배터리:99.99Wh/충전단자:타입C/,두께:19.2mm/무게:2.16kg/ 색상: 그레이,
199,MSI GF시리즈 Sword GF76 B12VEK 16GB램,"1,348,970",노트북,미포함(프리도스),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
200,레노버 V15 Gen2 82KD000VKR,"549,000",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/250nit/,AMD/라이젠7-4세대/5700U (1.8GHz)/옥타(8)코어/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능(1슬롯) /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜:802.11ac(Wi-Fi 5)/ 유선랜:기가비트/,HDMI/웹캠/,USB-C: 지원 /,웹캠OFF 지원 /고속충전/,침수지연키보드/ㅡ형 방향키/숫자 키패드(4열)/,배터리:38Wh/충전단자:DC/,두께:19.9mm/무게:1.7kg/ 색상: 그레이,
201,레노버 V15 Gen3 ABA 82TV002XKR,"625,000",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/300nit/,AMD/라이젠7-4세대/5825U (2.0GHz)/옥타(8)코어/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능(1슬롯) /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/256GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,TPM/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/,ㅡ형 방향키/숫자 키패드(4열)/,배터리:45Wh/어댑터:65W/충전단자:DC/,두께:19.9mm/무게:1.7kg/ 색상: 그레이,
202,MSI Stealth 15 A13VF 4K WIN11 32GB램,"2,246,090",노트북,윈도우11(설치),39.62cm(15.6인치)/3840x2160(4K UHD)/400nit/주사율:120Hz/,인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 2개 / USB-A: 2개 /,USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:53.5Wh/어댑터:180W/충전단자:DC/,두께:19.9mm/무게:2.1kg/ 쿨링팬: 3개 / 색상: 블랙,
203,MSI 모던시리즈 모던14 B4MW-R5 카본 그레이,"549,640",노트북,미포함(프리도스),35.56cm(14인치)/1920x1080(FHD)/300nit/,AMD/라이젠5-3세대/4500U (2.3GHz)/헥사(6)코어/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/512GB/,무선랜:802.11ac(Wi-Fi 5)/,HDMI/웹캠(HD)/,USB-C: 지원 / MicroSD카드 /,MIL-STD/,키보드 라이트/ㅗ형 방향키/,배터리:52Wh/어댑터:65W/충전단자:DC/,두께:16.9mm/무게:1.3kg/ 색상: 그레이,
204,MSI GF시리즈 Sword GF76 B12VEK WIN11,"1,298,950",노트북,윈도우11(설치),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
205,레노버 씽크패드 T16 Gen1 21CHS00A00,"1,599,000",노트북,윈도우11프로,40.8cm(16인치)/1920x1200(WUXGA)/400nit/,AMD/라이젠7 PRO-5세대/ 6850U (2.7GHz) /옥타(8)코어/,LPDDR5(온보드)/램 용량:16GB/6400MHz/ 램 교체: 불가능 /,내장그래픽 / Radeon 680M /,M.2(NVMe)/256GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,USB-C: 2개 / USB-A: 2개 /,얼굴 인식/ 지문인식(전원버튼) /TPM/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:52.5Wh/어댑터:65W/충전단자:타입C/,두께:20.5mm/무게:1.8kg/ 색상: 블랙,
206,레노버 요가 7 16IAH7 82UF003DKR,"1,840,000",2 in 1,미포함(프리도스),40.8cm(16인치)/2560x1600(WQXGA)/400nit/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,LPDDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,외장그래픽 /Arc A370M/VRAM:4GB/,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.0/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / SD카드 /,얼굴 인식/ 웹캠OFF 지원 /고속충전/전용 펜 지원/ 전용 펜 포함 /USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/숫자 키패드(4열)/,배터리:99.99Wh/충전단자:타입C/,두께:19.2mm/무게:2.16kg/ 색상: 그레이,
207,MSI 써밋 E13 Flip Evo A13MT W11,"1,919,040",2 in 1,윈도우11홈,34.03cm(13.4인치)/1920x1200(WUXGA)/500nit/주사율:120Hz/,인텔/코어i7-13세대/i7-1360P (2.2GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 / MicroSD카드 /,얼굴 인식/지문 인식/TPM/ 웹캠OFF 지원 /고속충전/전용 펜 지원/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:70Wh/어댑터:65W/충전단자:타입C/,두께:14.9mm/무게:1.35kg/ 색상: 블랙,
208,MSI 써밋 E16 Flip A13VET,"2,207,040",2 in 1,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율:165Hz/,인텔/코어i7-13세대/i7-1360P (2.2GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,USB-C: 2개 / USB-A: 1개 / MicroSD카드 /,얼굴 인식/지문 인식/TPM/ 웹캠OFF 지원 /고속충전/전용 펜 지원/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:82Wh/어댑터:120W/충전단자:DC/,두께:16.85mm/무게:2.1kg/ 쿨링팬: 2개 / 색상: 블랙,
209,MSI Stealth 15 A13VF 4K,"2,065,320",노트북,미포함(프리도스),39.62cm(15.6인치)/3840x2160(4K UHD)/400nit/주사율:120Hz/,인텔/코어i7-13세대/i7-13620H (2.4GHz)/10코어(6P+4E)/,DDR5/램 용량:16GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 2개 / USB-A: 2개 /,USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:53.5Wh/어댑터:180W/충전단자:DC/,두께:19.9mm/무게:2.1kg/ 쿨링팬: 3개 / 색상: 블랙,
210,MSI GP시리즈 Vector GP77 13VG QHD,"2,663,100",노트북,미포함(프리도스),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:240W/충전단자:전용포트/,두께:25.9mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
211,MSI GP시리즈 Vector GP77 13VG-i9 QHD,"2,811,560",노트북,미포함(프리도스),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900H (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:240W/충전단자:전용포트/,두께:25.9mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
212,MSI Stealth 17 Studio A13VH-i9 4K Mini LED W11,"4,164,660",노트북,윈도우11홈,43.9cm(17.3인치)/3840x2160(4K UHD)/1000nit/주사율:144Hz/,인텔/코어i9-13세대/i9-13900H (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4080/TGP:105W/VRAM:12GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:240W/충전단자:전용포트/,두께:20.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
213,레노버 씽크패드 T16 Gen1 21BVS00M00,"1,890,000",노트북,윈도우11프로,40.8cm(16인치)/1920x1200(WUXGA)/300nit/,인텔/코어i7-12세대/i7-1260P (2.1GHz)/12코어(4P+8E)/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능(1슬롯) /,외장그래픽 /MX550/VRAM:2GB/,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 /,얼굴 인식/TPM/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:86Wh/어댑터:135W/충전단자:타입C/,두께:21.1mm/무게:1.65kg/ 색상: 블랙,
214,MSI GP시리즈 GP66 Leopard 11UH,"1,799,000",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/300nit/주사율:240Hz/,인텔/코어i7-11세대/i7-11800H (2.3GHz)/옥타(8)코어/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3080/TGP:140W/VRAM:8GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,,,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:280W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 색상: 블랙,
215,한성컴퓨터 TFG5277XG,"1,799,000",노트북,미포함(프리도스),39.62cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-A: 3개 / MicroSD카드 /,얼굴 인식/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:62.32Wh/어댑터:230W/충전단자:DC/,두께:20mm/무게:1.7kg/ 색상: 그레이,
216,MSI 사이보그 15 A12VF-i5,"1,250,000",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:120W/충전단자:DC/,두께:22.9mm/무게:1.98kg/ 색상: 블랙,
217,한성컴퓨터 올데이롱 TFX6250H,"978,990",노트북,미포함(프리도스),40.64cm(16인치)/2560x1600(WQXGA)/300nit/주사율:90Hz/,인텔/코어i5-12세대/i5-12450H (2.0GHz)/옥타코어(4P+4E)/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / UHD Graphics /,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/,HDMI 2.0/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:82.04Wh/어댑터:90W/충전단자:DC/,두께:19mm/무게:1.46kg/ 쿨링팬: 2개 / 색상: 블랙,
218,레노버 요가 Slim7 Carbon 13IRP8 83AY002KKR,"1,640,000",노트북,미포함(프리도스),33.78cm(13.3인치)/2560x1600(WQXGA)/400nit/주사율:90Hz/,인텔/코어i7-13세대/i7-1360P (2.2GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/5200MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/1TB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 /,얼굴 인식/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/ㅡ형 방향키/,배터리:50Wh/충전단자:타입C/,두께:14.8mm/무게:972g/ 쿨링팬: 1개 / 색상: 화이트,
219,MSI GF시리즈 Sword GF76 A12UE 포스,"1,403,490",노트북,미포함(프리도스),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:240W/충전단자:DC/,두께:25.2mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
220,Razer Blade 14 R9 Zen4 R3070Ti QHD,"2,990,000",노트북,윈도우11홈,35.56cm(14인치)/2560x1440(QHD)/주사율:165Hz/,AMD/라이젠9-5세대/6900HX (3.3GHz)/옥타(8)코어/,DDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,외장그래픽 /RTX3070 Ti/TGP:100W/VRAM:8GB/,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,USB-C: 2개 / USB-A: 2개 /,얼굴 인식/TPM/USB-PD/DP Alt Mode/,RGB 라이트/ㅡ형 방향키/,배터리:61.6Wh/어댑터:230W/충전단자:전용포트/,두께:16.8mm/무게:1.78kg/ 쿨링팬: 2개 / 색상: 블랙,
221,Razer Blade Pro 17 12Gen R3060 QHD,"2,773,480",노트북,윈도우11홈,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i7-12세대/i7-12800H (2.4GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:130W/VRAM:6GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 3개 / SD카드 /,얼굴 인식/TPM/USB-PD/DP Alt Mode/,ㅡ형 방향키/,배터리:82Wh/어댑터:280W/충전단자:전용포트/,두께:19.9mm/무게:2.75kg/ 쿨링팬: 2개 / 색상: 블랙,
222,LG전자 그램 스타일16 16Z90RS-GA56K,"2,089,000",노트북,윈도우11홈,40.6cm(16인치)/3200x2000(WQHD+)/400nit/주사율:120Hz/,인텔/코어i5-13세대/i5-1340P (1.9GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 / MicroSD카드 /,얼굴 인식/USB-PD/DP Alt Mode/MIL-STD/,ㅗ형 방향키/숫자 키패드(3열)/,배터리:80Wh/어댑터:65W/충전단자:타입C/,두께:15.9mm/무게:1.23kg/ 색상: 화이트,
223,MSI 크리에이터 Z16 HX Studio B13VFTO-i9,"2,874,040",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/400nit/주사율:120Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/,M.2(NVMe)/1TB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-A: 1개 / SD카드 /,얼굴 인식/지문 인식/TPM/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:90Wh/어댑터:280W/충전단자:전용포트/,두께:18.4mm/무게:2.35kg/ 쿨링팬: 2개 / 색상: 그레이,
224,한성컴퓨터 TFG6397W,"2,430,000",노트북,윈도우11홈,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-A: 3개 / SD카드 /,얼굴 인식/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:97.5Wh/어댑터:330W/충전단자:DC/,두께:31mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 화이트,
225,MSI GP시리즈 Vector GP77 13VF QHD WIN11 32GB램,"2,255,690",노트북,윈도우11(설치),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,DDR5/램 용량:32GB/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:240W/충전단자:전용포트/,두께:25.9mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
226,한성컴퓨터 언더케이지 TFX4450H,"641,680",노트북,미포함(프리도스),35.56cm(14인치)/1920x1080(FHD)/300nit/,AMD/라이젠5-3세대/4600H (3.0GHz)/헥사(6)코어/,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/250GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 지원 /,USB-PD/,키보드 라이트/ㅡ형 방향키/,배터리:46.74Wh/어댑터:90W/충전단자:DC/,두께:17.3mm/무게:1.1kg/ 색상: 블랙,
227,MSI Stealth 17M A12UE WIN11,"1,311,290",노트북,윈도우11(설치),43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-1280P (1.8GHz)/ 14코어(6P+8E) /,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:75W/VRAM:6GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:65Wh/어댑터:180W/충전단자:DC/,두께:21.55mm/무게:2.2kg/ 색상: 블랙,
228,MSI 사이보그 15 A12VF 32GB램,"1,358,020",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:120W/충전단자:DC/,두께:22.9mm/무게:1.98kg/ 색상: 블랙,
229,레노버 요가 Slim7 Carbon13ITL5 82EV0033KR,"970,000",노트북,미포함(프리도스),33.7cm(13인치)/2560x1600(WQXGA)/300nit/,인텔/코어i5-11세대/i5-1135G7 (2.4GHz)/쿼드(4)코어/,LPDDR4x(온보드) /램 용량:8GB/4266MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/,무선랜:802.11ax(Wi-Fi 6)/,웹캠/,썬더볼트4:2개(USB-C겸용)/,얼굴 인식/고속충전/USB-PD/MIL-STD/,키보드 라이트/ㅡ형 방향키/,배터리:50Wh/충전단자:타입C/,두께:15mm/무게:970g/ 색상: 화이트,
230,MSI 모던시리즈 모던14 C5M-R7,"548,990",노트북,미포함(프리도스),35.5cm(14인치)/1920x1080(FHD)/300nit/,AMD/라이젠7-4세대/5825U (2.0GHz)/옥타(8)코어/,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/512GB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/ 리프트 힌지 /,키보드 라이트/ㅗ형 방향키/,배터리:39.3Wh/어댑터:65W/충전단자:DC/,두께:19.35mm/무게:1.4kg/ 색상: 블랙,
231,MSI Stealth 17 Studio A13VH QHD,"3,389,660",노트북,미포함(프리도스),43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,인텔/코어i7-13세대/i7-13700H (2.4GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/ 램 교체: 가능 /,외장그래픽 /RTX4080/TGP:105W/VRAM:12GB/MUX 스위치/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / SD카드 /,얼굴 인식/지문 인식/ 웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:99.9Wh/어댑터:240W/충전단자:전용포트/,두께:20.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
232,한성컴퓨터 TFG7597XG,"1,654,360",노트북,미포함(프리도스),43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:165Hz/,AMD/라이젠9-4세대/5900HX (3.3GHz)/옥타(8)코어/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070/TGP:140W/VRAM:8GB/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,USB-C: 지원 / MicroSD카드 /,얼굴 인식/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:91.24Wh/어댑터:230W/충전단자:DC/,두께:25mm/무게:2.2kg/ 색상: 블랙,
