,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원
21,삼성전자 갤럭시북3 NT750XFT-A71A,"1,249,000",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-1355U (1.7GHz)', '/', '10코어(2P+8E)', '/']","['LPDDR4x(온보드) /', '램 용량', ':', '16GB', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 2개 / USB-A: 2개 / MicroSD카드 /'],"['TPM', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '54Wh', '/', '어댑터', ':', '45W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '15.4mm', '/', '무게', ':', '1.57kg', '/ 색상: 그라파이트']"
22,LG전자 2023 울트라PC 15UD40R-GX36K 16GB램,"544,750",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/']","['AMD', '/', '라이젠3(Zen3)', '/ 7330U (2.3Hz) /', '쿼드(4)코어', '/']","['DDR4', '/', '램 용량', ':', '16GB', '/', '3200MHz', '/ 램 교체: 가능 /']",['내장그래픽 / Radeon Graphics /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 2개 / MicroSD카드 /'],,"['ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '49Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '19.1mm', '/', '무게', ':', '1.75kg', '/ 색상: 화이트']"
23,LG전자 2022 그램16(12세대) 16ZD90Q-EX56K WIN11,"1,392,340",노트북,윈도우11(설치),"['40.6cm(16인치)', '/', '2560x1600(WQXGA)', '/', '350nit', '/']","['인텔', '/', '코어i5-12세대', '/', 'i5-1240P (1.7GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/', '5200MHz', '/ 램 교체: 불가능 /']","['외장그래픽 /', 'RTX2050', '/', 'VRAM:4GB', '/']","['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']","['얼굴 인식', '/', 'USB-PD', '/', 'MIL-STD', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '90Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '16.8mm', '/', '무게', ':', '1.285kg', '/ 색상: 화이트']"
24,MSI GF시리즈 Sword GF76 B12VEK 32GB램,"1,347,600",노트북,미포함(프리도스),"['43.9cm(17.3인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-12650H (2.3GHz)', '/', '10코어(6P+4E)', '/']","['DDR5', '/', '램 용량', ':', '32GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4050', '/', 'TGP', ':', '105W', '/', 'VRAM:6GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 /'],"['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.5Wh', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '25.2mm', '/', '무게', ':', '2.6kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
25,LG전자 2022 그램15(12세대) 15ZD95Q-GX56K WIN11,"1,155,220",노트북,윈도우11(설치),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/', '350nit', '/']","['인텔', '/', '코어i5-12세대', '/', 'i5-1235U (1.3GHz)', '/', '10코어(2P+8E)', '/']","['LPDDR4x(온보드) /', '램 용량', ':', '16GB', '/', '4266MHz', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI 2.0', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']","['지문 인식', '/', 'USB-PD', '/', 'MIL-STD', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '80Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '17.4mm', '/', '무게', ':', '1.14kg', '/ 색상: 화이트']"
26,HP 빅터스 15-fa1014TX,"1,299,000",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i5-13세대', '/', 'i5-13500H (2.6GHz)', '/', '12코어(4P+8E)', '/']","['DDR4', '/', '램 용량', ':', '16GB', '/', '3200MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4050', '/', 'VRAM:6GB', '/']","['M.2(NVMe)', '/', '512GB', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 2개 / SD카드 /'],"['고속충전', '/', 'DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '70Wh', '/', '어댑터', ':', '200W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '23.5mm', '/', '무게', ':', '2.29kg', '/ 색상: 블랙']"
27,MSI GP시리즈 Vector GP66 12UGSO QHD,"1,599,000",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '2560x1440(QHD)', '/', '300nit', '/', '주사율', ':', '165Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-12700H (2.3GHz)', '/ 14코어(6P+8E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX3070 Ti', '/', 'TGP', ':', '150W', '/', 'VRAM:8GB', '/', '논 옵티머스', '/']","['M.2(NVMe)', '/', '1TB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /'],"['HDMI', '/', 'mini DP', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 /'],"['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/']","['배터리', ':', '65Wh', '/', '어댑터', ':', '280W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '23.4mm', '/', '무게', ':', '2.38kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
28,HP 오멘 16-n0094AX,"1,698,000",노트북,윈도우11홈,"['40.9cm(16.1인치)', '/', '2560x1440(QHD)', '/', '300nit', '/', '주사율', ':', '165Hz', '/']","['AMD', '/', '라이젠7-5세대', '/', '6800H (3.2GHz)', '/', '옥타(8)코어', '/']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX3070 Ti', '/', 'TGP', ':', '150W', '/', 'VRAM:8GB', '/', '논 옵티머스', '/']","['M.2(NVMe)', '/', '512GB', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(HD)', '/']",['USB-C: 2개 / USB-A: 3개 / SD카드 /'],"['고속충전', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '표준 텐키리스', '/']","['배터리', ':', '83Wh', '/', '어댑터', ':', '280W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '23mm', '/', '무게', ':', '2.35kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
29,MSI GT시리즈 Titan GT77 HX 13VI-i9 4K Mini LED W11,"6,725,890",노트북,윈도우11홈,"['43.9cm(17.3인치)', '/', '3840x2160(4K UHD)', '/', '1000nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13980HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '64GB', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4090', '/', 'TGP', ':', '175W', '/', 'VRAM:16GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '4TB', '/', '저장 슬롯', ':', '3개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /'],"['HDMI', '/', 'mini DP', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 3개 / SD카드 /']","['얼굴 인식', '/', '지문 인식', '/ 웹캠OFF 지원 /', '고속충전', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['기계식 키보드', '/', 'RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '99.9Wh', '/', '어댑터', ':', '330W', '/', '충전단자', ':', '전용포트', '/']","['두께', ':', '23mm', '/', '무게', ':', '3.3kg', '/ 쿨링팬: 4개 / 색상: 블랙']"
30,LG전자 2023 그램15 15ZD90R-GX56K,"1,334,420",노트북,미포함(프리도스),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/', '350nit', '/']","['인텔', '/', '코어i5-13세대', '/', 'i5-1340P (1.9GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/', '6000MHz', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']","['얼굴 인식', '/', 'USB-PD', '/', 'DP Alt Mode', '/', 'MIL-STD', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '80Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '17.4mm', '/', '무게', ':', '1.14kg', '/ 색상: 화이트']"
31,MSI Stealth 17M A12UE,"1,288,000",노트북,미포함(프리도스),"['43.9cm(17.3인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-1280P (1.8GHz)', '/ 14코어(6P+8E) /']","['DDR4', '/', '램 용량', ':', '16GB', '/', '3200MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX3060', '/', 'TGP', ':', '75W', '/', 'VRAM:6GB', '/']","['M.2(NVMe)', '/', '512GB', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 2개 /'],"['DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '65Wh', '/', '어댑터', ':', '180W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '21.55mm', '/', '무게', ':', '2.2kg', '/ 색상: 블랙']"
32,LG전자 2023 그램16 16ZD90R-GX56K,"1,429,000",노트북,미포함(프리도스),"['40.6cm(16인치)', '/', '2560x1600(WQXGA)', '/', '350nit', '/']","['인텔', '/', '코어i5-13세대', '/', 'i5-1340P (1.9GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/', '6000MHz', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']","['얼굴 인식', '/', 'USB-PD', '/', 'MIL-STD', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '80Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '16.8mm', '/', '무게', ':', '1.199kg', '/ 색상: 화이트']"
33,한성컴퓨터 TFG7276XGW,"1,648,000",노트북,윈도우11홈,"['43.94cm(17.3인치)', '/', '1920x1080(FHD)', '/', '300nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-12700H (2.3GHz)', '/ 14코어(6P+8E) /']","['DDR5', '/', '램 용량', ':', '16GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX3060', '/', 'TGP', ':', '140W', '/', 'VRAM:6GB', '/']","['M.2(NVMe)', '/', '500GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(HD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-A: 3개 / MicroSD카드 /']","['얼굴 인식', '/', 'DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '91.24Wh', '/', '어댑터', ':', '230W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '22mm', '/', '무게', ':', '2.5kg', '/ 색상: 블랙']"
34,MSI GF시리즈 Sword GF66 A12UC-i5 블랙 WIN11 16GB램,"979,980",노트북,윈도우11(설치),"['39.6cm(15.6인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i5-12세대', '/', 'i5-12450H (2.0GHz)', '/', '옥타코어(4P+4E)', '/']","['DDR4', '/', '램 용량', ':', '16GB', '/', '3200MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX3050', '/', 'TGP', ':', '60W', '/', 'VRAM:4GB', '/']","['M.2(NVMe)', '/', '512GB', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 /'],,"['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.5Wh', '/', '어댑터', ':', '180W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '24.9mm', '/', '무게', ':', '2.25kg', '/ 색상: 블랙']"
35,한성컴퓨터 TFX5560U 세잔북,"699,000",노트북,미포함(프리도스),"['39.62cm(15.6인치)', '/', '1920x1080(FHD)', '/', '350nit', '/']","['AMD', '/', '라이젠5-4세대', '/', '5600U (2.3GHz)', '/', '헥사(6)코어', '/']","['DDR4', '/', '램 용량', ':', '16GB', '/', '3200MHz', '/ 램 교체: 가능 /']",['내장그래픽 / Radeon Graphics /'],"['M.2(NVMe)', '/', '500GB', '/', '저장 슬롯', ':', '1개', '/']","['무선랜:', '802.11ac(Wi-Fi 5)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 / MicroSD카드 /'],"['USB-PD', '/', 'DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅡ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.58Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '21mm', '/', '무게', ':', '1.6kg', '/ 색상: 블랙']"
36,에이서 스위프트 X 14.5 OLED Studio SFX14-71G 4050,"1,698,990",노트북,미포함(프리도스),"['36.8cm(14.5인치)', '/', '2880x1800(WQXGA+)', '/', '500nit', '/', '주사율', ':', '120Hz', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-13700H (2.4GHz)', '/ 14코어(6P+8E) /']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/ 램 교체: 불가능 /']","['외장그래픽 /', 'RTX4050', '/', 'TGP', ':', '50W', '/', 'VRAM:6GB', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '1개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI 2.1', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']","['지문인식(전원버튼) /', 'USB-PD', '/', 'DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅡ형 방향키', '/']","['배터리', ':', '76Wh', '/', '어댑터', ':', '100W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '17.9mm', '/', '무게', ':', '1.55kg', '/ 쿨링팬: 1개 / 색상: 그레이']"
37,ASUS ROG STRIX G15 G513RC-HN015 32GB램,"1,348,000",노트북,미포함(프리도스),"['39.62cm(15.6인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['AMD', '/', '라이젠7-5세대', '/', '6800H (3.2GHz)', '/', '옥타(8)코어', '/']","['DDR5', '/', '램 용량', ':', '32GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX3050', '/', 'TGP', ':', '95W', '/', 'VRAM:4GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.0', '/']",['USB-C: 2개 / USB-A: 2개 /'],"['고속충전', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/']","['배터리', ':', '56Wh', '/', '어댑터', ':', '200W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '25.9mm', '/', '무게', ':', '2.1kg', '/ 색상: 그레이']"
38,MSI GF시리즈 Sword GF76 B13VFK WIN11 32GB램,"1,608,900",노트북,윈도우11(설치),"['43.9cm(17.3인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-13세대', '/', 'i7-13620H (2.4GHz)', '/', '10코어(6P+4E)', '/']","['DDR5', '/', '램 용량', ':', '32GB', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4060', '/', 'TGP', ':', '105W', '/', 'VRAM:8GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 /'],"['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.5Wh', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '25.2mm', '/', '무게', ':', '2.6kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
39,레노버 LEGION Pro 5i 16IRX i9 4070 Plus 64GB램,"2,840,000",노트북,미포함(프리도스),"['40.6cm(16인치)', '/', '2560x1600(WQXGA)', '/', '500nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13900HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '64GB', '/', '5600MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4070', '/', 'TGP', ':', '140W', '/', 'VRAM:8GB', '/']","['M.2(NVMe)', '/', '1TB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(FHD)', '/']",['USB-C: 2개 / USB-A: 4개 /'],"['웹캠OFF 지원 /', 'USB-PD', '/', 'DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '80Wh', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '26.75mm', '/', '무게', ':', '2.5kg', '/ 쿨링팬: 2개 / 색상: 그레이 / ADP 서비스 2년 / Premium Care 서비스 2년']"
40,APPLE 2022 맥북에어 MLY33KH/A,"1,434,050",노트북,macOS Monterey,"['34.5cm(13.6인치)', '/', '2560x1664', '/', '500nit', '/']","['애플(ARM) /', '실리콘 M2', '/', '옥타코어(4+4)', '/']","['램 용량', ':', '8GB', '/ 램 교체: 불가능 /']","['내장그래픽 /', 'M2 8 core', '/']","['SSD', '/', '256GB', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/']","['웹캠(FHD)', '/']","['썬더볼트3', ':', '2개(USB-C겸용)', '/']","['지문 인식', '/', 'USB-PD', '/', 'DP Alt Mode', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/']","['배터리', ':', '52.6Wh', '/', '어댑터', ':', '30W', '/', '충전단자', ':', 'MagSafe 3', '/']","['두께', ':', '11.3mm', '/', '무게', ':', '1.24kg', '/ 쿨링팬:', '없음(팬리스)', '/ 색상: 미드나이트 / 16코어 Neural Engine / 100GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이']"
41,LG전자 2023 그램16 16ZD90R-GX56K WIN11,"1,497,870",노트북,윈도우11(설치),"['40.6cm(16인치)', '/', '2560x1600(WQXGA)', '/', '350nit', '/']","['인텔', '/', '코어i5-13세대', '/', 'i5-1340P (1.9GHz)', '/', '12코어(4P+8E)', '/']","['LPDDR5(온보드)', '/', '램 용량', ':', '16GB', '/', '6000MHz', '/ 램 교체: 불가능 /']",['내장그래픽 / Iris Xe /'],"['M.2(NVMe)', '/', '256GB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 2개 / MicroSD카드 /']","['얼굴 인식', '/', 'USB-PD', '/', 'MIL-STD', '/']","['키보드 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '80Wh', '/', '어댑터', ':', '65W', '/', '충전단자', ':', '타입C', '/']","['두께', ':', '16.8mm', '/', '무게', ':', '1.199kg', '/ 색상: 화이트']"
42,MSI GF시리즈 Sword GF76 B12VEK WIN11 32GB램,"1,325,870",노트북,윈도우11(설치),"['43.9cm(17.3인치)', '/', '1920x1080(FHD)', '/', '250nit', '/', '주사율', ':', '144Hz', '/']","['인텔', '/', '코어i7-12세대', '/', 'i7-12650H (2.3GHz)', '/', '10코어(6P+4E)', '/']","['DDR5', '/', '램 용량', ':', '32GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4050', '/', 'TGP', ':', '105W', '/', 'VRAM:6GB', '/', 'MUX 스위치', '/']","['M.2(NVMe)', '/', '512GB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜:', '802.11ax(Wi-Fi 6)', '/ 유선랜:', '기가비트', '/']","['HDMI', '/', '웹캠(HD)', '/']",['USB-C: 1개 / USB-A: 3개 /'],"['DP Alt Mode', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(3열)', '/']","['배터리', ':', '53.5Wh', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '25.2mm', '/', '무게', ':', '2.6kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
43,에이서 프레데터 Helios 18 PH18-71 4080,"3,790,000",노트북,미포함(프리도스),"['45.72cm(18인치)', '/', '2560x1600(WQXGA)', '/', '500nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13900HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '32GB', '/', '4800MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4080', '/', 'TGP', ':', '175W', '/', 'VRAM:12GB', '/', '논 옵티머스', '/']","['M.2(NVMe)', '/', '1TB', '/', '저장 슬롯', ':', '2개', '/']","['무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:', '기가비트', '/']","['HDMI 2.1', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '2개(USB-C겸용)', '/ USB-A: 3개 / MicroSD카드 /']","['USB-PD', '/']","['RGB 라이트', '/', 'ㅗ형 방향키', '/', '숫자 키패드(4열)', '/']","['배터리', ':', '90Wh', '/', '어댑터', ':', '330W', '/', '충전단자', ':', 'DC', '/']","['두께', ':', '29.15mm', '/', '무게', ':', '3.16kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
44,Razer Blade 16 13Gen R4080 QHD,"5,289,990",노트북,윈도우11홈,"['40.8cm(16인치)', '/', '2560x1600(WQXGA)', '/', '500nit', '/', '주사율', ':', '240Hz', '/']","['인텔', '/', '코어i9-13세대', '/', 'i9-13950HX (2.2GHz)', '/ 24코어(8P+16E) /']","['DDR5', '/', '램 용량', ':', '32GB', '/', '5600MHz', '/ 램 교체: 가능 /']","['외장그래픽 /', 'RTX4080', '/', 'TGP', ':', '175W', '/', 'VRAM:12GB', '/']","['M.2(NVMe)', '/', '1TB', '/', '저장 슬롯', ':', '2개', '/']",['무선랜: 802.11ax(Wi-Fi 6E) /'],"['HDMI 2.1', '/', '웹캠(FHD)', '/']","['썬더볼트4', ':', '1개(USB-C겸용)', '/ USB-C: 1개 / USB-A: 3개 / SD카드 /']","['얼굴 인식', '/', 'TPM', '/ 웹캠OFF 지원 /', 'USB-PD', '/']","['RGB 라이트', '/', 'ㅡ형 방향키', '/']","['배터리', ':', '95.2Wh', '/', '어댑터', ':', '330W', '/', '충전단자', ':', '전용포트', '/']","['두께', ':', '21.99mm', '/', '무게', ':', '2.45kg', '/ 쿨링팬: 2개 / 색상: 블랙']"
