,노트북 이름,가격,노트북유형,운영체제,화면정보,CPU,램,그래픽,저장장치,네트워크,영상입출력,단자,부가기능,입력장치,파워,주요제원,리퍼비시
11,한성컴퓨터 Bossmonster GTX73 N9X6Q24,"1,788,000",노트북,미포함(프리도스),43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.0/mini DP/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:73Wh/어댑터:280W/충전단자:DC/,두께:27.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
12,LG전자 2022 그램16(12세대) 16ZD90Q-EX56K WIN11,"1,392,340",노트북,윈도우11(설치),40.6cm(16인치)/2560x1600(WQXGA)/350nit/,인텔/코어i5-12세대/i5-1240P (1.7GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/5200MHz/ 램 교체: 불가능 /,외장그래픽 /RTX2050/VRAM:4GB/,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,얼굴 인식/USB-PD/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:90Wh/어댑터:65W/충전단자:타입C/,두께:16.8mm/무게:1.285kg/ 색상: 화이트,
13,삼성전자 갤럭시북2 프로 NT950XEE-X71A,"1,699,000",노트북,윈도우11홈,39.6cm(15.6인치)/1920x1080(FHD)/,인텔/코어i7-12세대/i7-1260P (2.1GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,외장그래픽 /Arc A350M/VRAM:4GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 1개 / MicroSD카드 /,지문 인식/TPM/USB-PD/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:68Wh/어댑터:65W/충전단자:타입C/,두께:13.3mm/무게:1.17kg/ 색상: 그라파이트,
14,한성컴퓨터 Bossmonster GTX73 N9X7Q24,"2,090,000",노트북,미포함(프리도스),43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.0/mini DP/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 / MicroSD카드 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:73Wh/어댑터:280W/충전단자:DC/,두께:27.8mm/무게:2.8kg/ 쿨링팬: 2개 / 색상: 블랙,
15,에이서 프레데터 Helios Neo 16 PHN16-71 4060,"1,790,000",노트북,미포함(프리도스),40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:165Hz/,인텔/코어i7-13세대/i7-13700HX (2.1GHz)/ 16코어(8P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 3개 / MicroSD카드 /,USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:90Wh/어댑터:330W/충전단자:DC/,두께:28mm/무게:2.6kg/ 쿨링팬: 2개 / 색상: 블랙,
16,삼성전자 갤럭시북3 프로 NT940XFT-A51A,"1,495,690",노트북,미포함(프리도스),35.6cm(14인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,인텔/코어i5-13세대/i5-1340P (1.9GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 1개 / MicroSD카드 /,지문인식(전원버튼) /TPM/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:63Wh/어댑터:65W/충전단자:타입C/,"두께:11.3mm/무게:1.17kg/ 색상: 베이지, 그라파이트",
17,LG전자 2022 그램15(12세대) 15ZD95Q-GX56K WIN11,"1,155,210",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/350nit/,인텔/코어i5-12세대/i5-1235U (1.3GHz)/10코어(2P+8E)/,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.0/웹캠(HD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,지문 인식/USB-PD/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:80Wh/어댑터:65W/충전단자:타입C/,두께:17.4mm/무게:1.14kg/ 색상: 화이트,
18,LG전자 2023 울트라PC 15UD40R-GX36K 16GB램,"544,760",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/,AMD/라이젠3(Zen3)/ 7330U (2.3Hz) /쿼드(4)코어/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 / MicroSD카드 /,,ㅗ형 방향키/숫자 키패드(3열)/,배터리:49Wh/어댑터:65W/충전단자:DC/,두께:19.1mm/무게:1.75kg/ 색상: 화이트,
19,삼성전자 갤럭시북2 NT550XEZ-A38A,"569,990",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/,인텔/코어i3-12세대/i3-1215U (1.2GHz)/헥사코어(2P+4E)/,DDR4/램 용량:8GB/ 램 교체: 가능 /,내장그래픽 / UHD Graphics /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 2개 / USB-A: 2개 / MicroSD카드 /,TPM/USB-PD/,ㅗ형 방향키/숫자 키패드(3열)/,배터리:43Wh/어댑터:45W/충전단자:타입C/,두께:18.5mm/무게:1.8kg/ 색상: 실버,
20,에이서 프레데터 Helios 18 PH18-71 4070,"2,690,000",노트북,미포함(프리도스),45.72cm(18인치)/2560x1600(WQXGA)/300nit/주사율:165Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 3개 / MicroSD카드 /,USB-PD/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:90Wh/어댑터:330W/충전단자:DC/,두께:29.15mm/무게:3.16kg/ 쿨링팬: 2개 / 색상: 블랙,
21,LG전자 2023 그램16 16ZD90R-GX56K,"1,429,000",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/350nit/,인텔/코어i5-13세대/i5-1340P (1.9GHz)/12코어(4P+8E)/,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/256GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 / MicroSD카드 /,얼굴 인식/USB-PD/MIL-STD/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:80Wh/어댑터:65W/충전단자:타입C/,두께:16.8mm/무게:1.199kg/ 색상: 화이트,
22,MSI GP시리즈 Vector GP66 12UEO QHD OLED WIN11 16GB램,"1,193,060",노트북,윈도우11(설치),39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:240W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 쿨링팬: 2개 / 색상: 블랙,
23,MSI 사이보그 15 A12VF WIN11 32GB램,"1,337,290",노트북,윈도우11(설치),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12650H (2.3GHz)/10코어(6P+4E)/,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,M.2(NVMe)/512GB/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 /,DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:53.5Wh/어댑터:120W/충전단자:DC/,두께:22.9mm/무게:1.98kg/ 색상: 블랙,
24,삼성전자 갤럭시북3 NT750XFT-A71A,"1,249,000",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/,인텔/코어i7-13세대/i7-1355U (1.7GHz)/10코어(2P+8E)/,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/,HDMI/웹캠(HD)/,USB-C: 2개 / USB-A: 2개 / MicroSD카드 /,TPM/,키보드 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:54Wh/어댑터:45W/충전단자:타입C/,두께:15.4mm/무게:1.57kg/ 색상: 그라파이트,
25,Razer Blade 16 13Gen R4080 QHD,"5,289,990",노트북,윈도우11홈,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13950HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:32GB/5600MHz/ 램 교체: 가능 /,외장그래픽 /RTX4080/TGP:175W/VRAM:12GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 3개 / SD카드 /,얼굴 인식/TPM/ 웹캠OFF 지원 /USB-PD/,RGB 라이트/ㅡ형 방향키/,배터리:95.2Wh/어댑터:330W/충전단자:전용포트/,두께:21.99mm/무게:2.45kg/ 쿨링팬: 2개 / 색상: 블랙,
26,레노버 LEGION Pro 5i 16IRX i9 4070 Plus 64GB램,"2,840,000",노트북,미포함(프리도스),40.6cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,인텔/코어i9-13세대/i9-13900HX (2.2GHz)/ 24코어(8P+16E) /,DDR5/램 용량:64GB/5600MHz/ 램 교체: 가능 /,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(FHD)/,USB-C: 2개 / USB-A: 4개 /,웹캠OFF 지원 /USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:80Wh/충전단자:DC/,두께:26.75mm/무게:2.5kg/ 쿨링팬: 2개 / 색상: 그레이 / ADP 서비스 2년 / Premium Care 서비스 2년,
27,ASUS ROG STRIX G18 G814JV-N5002,"2,149,000",노트북,미포함(프리도스),45.72cm(18인치)/1920x1200(WUXGA)/300nit/주사율:165Hz/,인텔/코어i7-13세대/i7-13650HX (2.6GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-C: 1개 / USB-A: 2개 /,TPM/고속충전/USB-PD/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:90Wh/어댑터:280W/충전단자:DC/,두께:30.08mm/무게:3kg/ 쿨링팬: 3개 / 색상: 그레이,
28,한성컴퓨터 TFX5560U 세잔북,"698,990",노트북,미포함(프리도스),39.62cm(15.6인치)/1920x1080(FHD)/350nit/,AMD/라이젠5-4세대/5600U (2.3GHz)/헥사(6)코어/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,내장그래픽 / Radeon Graphics /,M.2(NVMe)/500GB/저장 슬롯:1개/,무선랜:802.11ac(Wi-Fi 5)/ 유선랜:기가비트/,HDMI/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 / MicroSD카드 /,USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/숫자 키패드(3열)/,배터리:53.58Wh/어댑터:65W/충전단자:DC/,두께:21mm/무게:1.6kg/ 색상: 블랙,
29,한성컴퓨터 TFG7276XGW,"1,648,000",노트북,윈도우11홈,43.94cm(17.3인치)/1920x1080(FHD)/300nit/주사율:144Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/,M.2(NVMe)/500GB/저장 슬롯:2개/,무선랜:802.11ax(Wi-Fi 6)/ 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,썬더볼트4:1개(USB-C겸용)/ USB-A: 3개 / MicroSD카드 /,얼굴 인식/DP Alt Mode/,RGB 라이트/ㅗ형 방향키/숫자 키패드(3열)/,배터리:91.24Wh/어댑터:230W/충전단자:DC/,두께:22mm/무게:2.5kg/ 색상: 블랙,
30,MSI GP시리즈 Vector GP66 12UGSO QHD,"1,599,000",노트북,미포함(프리도스),39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,인텔/코어i7-12세대/i7-12700H (2.3GHz)/ 14코어(6P+8E) /,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,M.2(NVMe)/1TB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜: 2.5기가비트 /,HDMI/mini DP/웹캠(HD)/,USB-C: 1개 / USB-A: 3개 /,DP Alt Mode/,RGB 라이트/ㅗ형 방향키/,배터리:65Wh/어댑터:280W/충전단자:DC/,두께:23.4mm/무게:2.38kg/ 쿨링팬: 2개 / 색상: 블랙,
31,HP 빅터스 15-fa1014TX,"1,299,000",노트북,미포함(프리도스),39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,인텔/코어i5-13세대/i5-13500H (2.6GHz)/12코어(4P+8E)/,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,외장그래픽 /RTX4050/VRAM:6GB/,M.2(NVMe)/512GB/,무선랜: 802.11ax(Wi-Fi 6E) / 유선랜:기가비트/,HDMI 2.1/웹캠(HD)/,USB-C: 1개 / USB-A: 2개 / SD카드 /,고속충전/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/숫자 키패드(4열)/,배터리:70Wh/어댑터:200W/충전단자:DC/,두께:23.5mm/무게:2.29kg/ 색상: 블랙,
32,에이서 스위프트 엣지 OLED SFE16-42-R3TY,"1,590,000",노트북,미포함(프리도스),40.8cm(16인치)/3840x2400(4K UHD)/500nit/,AMD/라이젠7(Zen3+)/ 7735U (2.7Hz) /옥타(8)코어/,LPDDR5(온보드)/램 용량:16GB/6400MHz/ 램 교체: 불가능 /,내장그래픽 / Radeon 680M /,M.2(NVMe)/512GB/저장 슬롯:2개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.1/웹캠(FHD)/,USB-C: 2개 / USB-A: 2개 /,USB-PD/DP Alt Mode/,키보드 라이트/ㅡ형 방향키/,배터리:54Wh/어댑터:65W/충전단자:타입C/,두께:13.95mm/무게:1.17kg/ 색상: 블루,
33,레노버 씽크패드 X1 카본 Gen11 21HMS00U00,"2,690,000",노트북,윈도우11프로,35.6cm(14인치)/2880x1800(WQXGA+)/400nit/,인텔/코어i7-13세대/i7-1370P (1.9GHz)/ 14코어(6P+8E) /,LPDDR5(온보드)/램 용량:32GB/6400MHz/ 램 교체: 불가능 /,내장그래픽 / Iris Xe /,M.2(NVMe)/512GB/저장 슬롯:1개/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI 2.0/웹캠(FHD)/,썬더볼트4:2개(USB-C겸용)/ USB-A: 2개 /,얼굴 인식/ 지문인식(전원버튼) /TPM/ 웹캠OFF 지원 /고속충전/USB-PD/DP Alt Mode/MIL-STD/,키보드 라이트/침수지연키보드/ㅗ형 방향키/,배터리:57Wh/어댑터:65W/충전단자:타입C/,두께:15.36mm/무게:1.12kg/ 쿨링팬: 2개 / 색상: 블랙,
34,APPLE 2023 맥북프로14 MPHE3KH/A,"2,509,000",노트북,macOS Ventura,35.9cm(14.2인치)/3024x1964/1000nit/주사율:120Hz/,애플(ARM) / 실리콘 M2 Pro /10코어/,램 용량:16GB/ 램 교체: 불가능 /,내장그래픽 / M2 Pro 16core /,SSD/512GB/,무선랜: 802.11ax(Wi-Fi 6E) /,HDMI/웹캠(FHD)/,썬더볼트4:3개(USB-C겸용)/ SD카드 /,지문 인식/고속충전/USB-PD/DP Alt Mode/,키보드 라이트/ㅗ형 방향키/,배터리:70Wh/어댑터:67W/충전단자:MagSafe 3/,두께:15.5mm/무게:1.6kg/ 색상: 그레이 / 16코어 Neural Engine / 최대 200GB/s 메모리 대역폭 / 미디어 엔진 (디코딩+인코딩+ProRes) / 노치형 디스플레이,
