id,제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
1,에이서,스위프트 GO 16 OLED SFG16-71-51BY,50.00,https://img.danawa.com/prod_img/500000/613/017/img/20017613_1.jpg?shrink=130:130&_v=20230511093333,인텔 코어i5-13세대 i5-13420H (2.1GHz) 옥타코어(4P+4E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,16,40.8cm(16인치)/3200x2000(WQHD+)/500nit/주사율:120Hz/,내장그래픽 / UHD Graphics /,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.60,998990
2,한성컴퓨터,Bossmonster GTX73 N9X7Q24,73.00,https://img.danawa.com/prod_img/500000/280/210/img/19210280_1.jpg?shrink=130:130&_v=20230324173744,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,2088000
3,한성컴퓨터,Bossmonster GTX63 T9X6Q16,73.00,https://img.danawa.com/prod_img/500000/578/209/img/19209578_1.jpg?shrink=130:130&_v=20230420165739,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.50,1799000
4,MSI,모던시리즈 모던 15 B12M-i5,39.30,https://img.danawa.com/prod_img/500000/517/810/img/19810517_1.jpg?shrink=130:130&_v=20230511092716,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),8,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/,1.70,550000
5,에이서,프레데터 Helios Neo 16 PHN16-71 4060,90.00,https://img.danawa.com/prod_img/500000/224/530/img/19530224_1.jpg?shrink=130:130&_v=20230419111515,인텔 코어i7-13세대 i7-13700HX (2.1GHz)  16코어(8P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:165Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1790000
6,MSI,사이보그 15 A12VF,53.50,https://img.danawa.com/prod_img/500000/312/355/img/19355312_1.jpg?shrink=130:130&_v=20230330091708,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1330080
7,레노버,요가 Slim7 ProX 14IAH7 82TK009TKR,70.00,https://img.danawa.com/prod_img/500000/479/578/img/19578479_1.jpg?shrink=130:130&_v=20230413091510,인텔 코어i5-12세대 i5-12500H (2.5GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/5200MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,1399000
8,MSI,GF시리즈 Sword GF76 B13VFK WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/849/109/img/19109849_1.jpg?shrink=130:130&_v=20230309090407,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1798980
9,삼성전자,갤럭시북2 NT550XEZ-A58A 16GB램,43.00,https://img.danawa.com/prod_img/500000/064/578/img/17578064_1.jpg?shrink=130:130&_v=20220802084736,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,DDR4/램 용량:16GB/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,691930
10,LG전자,2022 그램15(12세대) 15ZD95Q-GX56K WIN11,80.00,https://img.danawa.com/prod_img/500000/613/631/img/18631613_1.jpg?shrink=130:130&_v=20230209091735,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.14,1188560
11,LG전자,2023 그램16 16ZD90R-GX56K,80.00,https://img.danawa.com/prod_img/500000/439/799/img/18799439_1.jpg?shrink=130:130&_v=20230223092448,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1478980
12,LG전자,2022 그램16(12세대) 16ZD95Q-GX56K WIN11,80.00,https://img.danawa.com/prod_img/500000/244/634/img/18634244_1.jpg?shrink=130:130&_v=20230223092225,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1291560
13,에이서,프레데터 Helios 18 PH18-71 4070,90.00,https://img.danawa.com/prod_img/500000/186/160/img/19160186_1.jpg?shrink=130:130&_v=20230302091453,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/2560x1600(WQXGA)/300nit/주사율:165Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,3.16,2690000
14,삼성전자,갤럭시북2 NT550XEZ-A38A,43.00,https://img.danawa.com/prod_img/500000/514/227/img/17227514_1.jpg?shrink=130:130&_v=20230419120942,인텔 코어i3-12세대 i3-1215U (1.2GHz) 헥사코어(2P+4E),8,DDR4/램 용량:8GB/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,568990
15,HP,오멘 16-n0094AX,83.00,https://img.danawa.com/prod_img/500000/838/501/img/19501838_1.jpg?shrink=130:130&_v=20230406090425,AMD 라이젠7-5세대 6800H (3.2GHz) 옥타(8)코어,16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16.1,40.9cm(16.1인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,512,M.2(NVMe)/512GB/,2.35,1698000
16,한성컴퓨터,Bossmonster GTX73 N9X6Q24,73.00,https://img.danawa.com/prod_img/500000/139/210/img/19210139_1.jpg?shrink=130:130&_v=20230324173546,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,1786000
17,삼성전자,갤럭시북3 프로 NT940XFT-A51A,63.00,https://img.danawa.com/prod_img/500000/935/906/img/18906935_1.jpg?shrink=130:130&_v=20230228083944,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,14,35.6cm(14인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.17,1430990
18,MSI,사이보그 15 A12VF WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/666/424/img/19424666_1.jpg?shrink=130:130&_v=20230406091221,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1349420
19,삼성전자,갤럭시북3 NT750XFT-A71A,54.00,https://img.danawa.com/prod_img/500000/218/959/img/19959218_1.jpg?shrink=130:130&_v=20230511093240,인텔 코어i7-13세대 i7-1355U (1.7GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.57,1249000
20,삼성전자,갤럭시북3 NT750XFS-G51A,54.00,https://img.danawa.com/prod_img/500000/334/846/img/19846334_1.jpg?shrink=130:130&_v=20230511093100,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,외장그래픽 /Arc A350M/VRAM:4GB/,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.60,1149000
21,MSI,GP시리즈 Vector GP68 HX 12VH-i9 QHD,90.00,https://img.danawa.com/prod_img/500000/860/166/img/20166860_1.jpg?shrink=130:130&_v=20230605141149,인텔 코어i9-12세대  i9-12900HX (2.3GHz)   16코어(8P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4080/TGP:175W/VRAM:12GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.67,3240000
22,ASUS,젠북 15 UM3504DA-BN144,67.00,https://img.danawa.com/prod_img/500000/928/239/img/20239928_1.jpg?shrink=130:130&_v=20230601091120,AMD 라이젠5(Zen3+)  7535U (2.9Hz)  헥사(6)코어,16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Radeon 660M /,512,M.2(NVMe)/512GB/,1.50,1124560
23,삼성전자,갤럭시북3 프로 NT960XFG-KD72E,76.00,https://img.danawa.com/prod_img/500000/499/132/img/19132499_1.jpg?shrink=130:130&_v=20230601092337,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),32,LPDDR5(온보드)/램 용량:32GB/ 램 교체: 불가능 /,16,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,1.56,2488990
24,MSI,GP시리즈 Vector GP66 12UEO QHD OLED WIN11 16GB램,65.00,https://img.danawa.com/prod_img/500000/943/922/img/18922943_1.jpg?shrink=130:130&_v=20230330091116,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1480570
25,MSI,GP시리즈 Vector GP66 12UGSO QHD,65.00,https://img.danawa.com/prod_img/500000/214/525/img/19525214_1.jpg?shrink=130:130&_v=20230413091206,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.38,1599000
26,에이서,스위프트 X 14.5 OLED Studio SFX14-71G 4050,76.00,https://img.danawa.com/prod_img/500000/962/019/img/20019962_1.jpg?shrink=130:130&_v=20230516130554,인텔 코어i7-13세대 i7-13700H (2.4GHz)  14코어(6P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/2880x1800(WQXGA+)/500nit/주사율:120Hz/,외장그래픽 /RTX4050/TGP:50W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.55,1698990
27,ASUS,ROG STRIX G18 G814JV-N5002,90.00,https://img.danawa.com/prod_img/500000/708/139/img/19139708_1.jpg?shrink=130:130&_v=20230406090141,인텔 코어i7-13세대 i7-13650HX (2.6GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/1920x1200(WUXGA)/300nit/주사율:165Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,3.00,2199000
28,삼성전자,갤럭시북3 프로360 NT960QFG-KC71G,76.00,https://img.danawa.com/prod_img/500000/371/936/img/18936371_1.jpg?shrink=130:130&_v=20230316094638,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,16,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.66,2179000
29,레노버,요가 Slim7 Carbon 14ACN6 82L0004YKR,61.00,https://img.danawa.com/prod_img/500000/227/167/img/16167227_1.jpg?shrink=130:130&_v=20220228152227,AMD 라이젠7-4세대 5800U (1.9GHz) 옥타(8)코어,16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/2880x1800(WQXGA+)/600nit/주사율:90Hz/,외장그래픽 /MX450/VRAM:2GB/,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,1.09,1228920
30,MSI,모던시리즈 모던 14 C7M-R5,39.30,https://img.danawa.com/prod_img/500000/165/475/img/19475165_1.jpg?shrink=130:130&_v=20230504091642,AMD 라이젠5(Zen3)  7530U (2.0Hz)  헥사(6)코어,8,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,14,35.5cm(14인치)/1920x1080(FHD)/300nit/,내장그래픽 / Radeon Graphics /,512,M.2(NVMe)/512GB/,1.40,548990
31,HP,빅터스 15-fa1014TX,70.00,https://img.danawa.com/prod_img/500000/054/430/img/19430054_1.jpg?shrink=130:130&_v=20230511091229,인텔 코어i5-13세대 i5-13500H (2.6GHz) 12코어(4P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/VRAM:6GB/,512,M.2(NVMe)/512GB/,2.29,1298990
32,MSI,GP시리즈 Vector GP66 12UEO QHD OLED,65.00,https://img.danawa.com/prod_img/500000/397/841/img/18841397_1.jpg?shrink=130:130&_v=20230223132946,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1399000
33,APPLE,2022 맥북에어 MLY03KH/A,52.60,https://img.danawa.com/prod_img/500000/856/203/img/17203856_1.jpg?shrink=130:130&_v=20230131140003,애플(ARM)  실리콘 M2 옥타코어(4+4),8,램 용량:8GB/ 램 교체: 불가능 /,13.6,34.5cm(13.6인치)/2560x1664/500nit/,내장그래픽 /M2 10 core/,512,SSD/512GB/,1.24,1869020
34,한성컴퓨터,TFG6397,97.50,https://img.danawa.com/prod_img/500000/899/455/img/19455899_1.jpg?shrink=130:130&_v=20230428123446,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.60,2290000
35,MSI,Stealth 17 Studio A13VH-i9 4K Mini LED W11,99.90,https://img.danawa.com/prod_img/500000/473/053/img/19053473_1.jpg?shrink=130:130&_v=20230601091659,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/3840x2160(4K UHD)/1000nit/주사율:144Hz/,외장그래픽 /RTX4080/TGP:105W/VRAM:12GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,4164660
36,ASUS,비보북 S 16X M5602QA-MB027,70.00,https://img.danawa.com/prod_img/500000/979/678/img/16678979_1.jpg?shrink=130:130&_v=20221124091957,AMD 라이젠5-4세대 5600H (3.3GHz) 헥사(6)코어,8,DDR4/램 용량:8GB/ 램 교체: 가능(1슬롯) /,16,40.8cm(16인치)/1920x1200(WUXGA)/300nit/,내장그래픽 / Radeon Graphics /,256,M.2(NVMe)/256GB/,1.90,532970
37,한성컴퓨터,Bossmonster GTX73 N9X6Q24W,73.00,https://img.danawa.com/prod_img/500000/205/210/img/19210205_1.jpg?shrink=130:130&_v=20230324173559,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,1936000
38,MSI,GF시리즈 Sword GF76 A12UC 포스,53.50,https://img.danawa.com/prod_img/500000/123/827/img/18827123_1.jpg?shrink=130:130&_v=20230406090744,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.60,1099000
39,에이서,프레데터 Helios 18 PH18-71 4080,90.00,https://img.danawa.com/prod_img/500000/438/160/img/19160438_1.jpg?shrink=130:130&_v=20230302091647,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4080/TGP:175W/VRAM:12GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,3.16,3790000
40,LG전자,2022 그램16(12세대) 16ZD95Q-GX56K,80.00,https://img.danawa.com/prod_img/500000/044/543/img/18543044_1.jpg?shrink=130:130&_v=20230209092109,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1265760
41,MSI,크리에이터 Z17 A12UGST W11,90.00,https://img.danawa.com/prod_img/500000/034/783/img/16783034_1.jpg?shrink=130:130&_v=20220526110154,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,17,43.18cm(17인치)/2560x1600(WQXGA)/400nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:90W/VRAM:8GB/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.49,2688390
42,삼성전자,갤럭시북3 프로 NT940XFG-KD72G,63.00,https://img.danawa.com/prod_img/500000/220/132/img/19132220_1.jpg?shrink=130:130&_v=20230518093704,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),32,LPDDR5(온보드)/램 용량:32GB/ 램 교체: 불가능 /,14,35.6cm(14인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,1.17,2299000
43,MSI,GT시리즈 Titan GT77 HX 13VI-i9 4K Mini LED W11,99.90,https://img.danawa.com/prod_img/500000/340/033/img/19033340_1.jpg?shrink=130:130&_v=20230223144756,인텔 코어i9-13세대 i9-13980HX (2.2GHz)  24코어(8P+16E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/3840x2160(4K UHD)/1000nit/주사율:144Hz/,외장그래픽 /RTX4090/TGP:175W/VRAM:16GB/MUX 스위치/,4000,M.2(NVMe)/4TB/저장 슬롯:3개/,3.30,6725880
44,레노버,요가 Slim7 ProX 14ARH7 82TL003SKR,70.00,https://img.danawa.com/prod_img/500000/858/549/img/17549858_1.jpg?shrink=130:130&_v=20221223080703,AMD 라이젠7-5세대 6800HS (3.2GHz) 옥타(8)코어,32,LPDDR5(온보드)/램 용량:32GB/6400MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,1399000
45,MSI,크리에이터 M16 A12UC,53.50,https://img.danawa.com/prod_img/500000/383/347/img/16347383_1.jpg?shrink=130:130&_v=20220311132640,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/500nit/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.26,1298990
46,LG전자,2022 울트라PC 15UD50Q-GX50K,49.00,https://img.danawa.com/prod_img/500000/676/353/img/17353676_1.jpg?shrink=130:130&_v=20220721092416,인텔 코어i5-12세대 i5-1240P (1.7GHz) 12코어(4P+8E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,748660
47,한성컴퓨터,TFX5560U 세잔북,53.58,https://img.danawa.com/prod_img/500000/848/245/img/16245848_1.jpg?shrink=130:130&_v=20220429095105,AMD 라이젠5-4세대 5600U (2.3GHz) 헥사(6)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/350nit/,내장그래픽 / Radeon Graphics /,500,M.2(NVMe)/500GB/저장 슬롯:1개/,1.60,699000
48,MSI,GP시리즈 Vector GP66 12UEO QHD OLED WIN11 32GB램,65.00,https://img.danawa.com/prod_img/500000/868/922/img/18922868_1.jpg?shrink=130:130&_v=20230223132755,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1601890
49,APPLE,2022 맥북에어 MLY33KH/A,52.60,https://img.danawa.com/prod_img/500000/826/203/img/17203826_1.jpg?shrink=130:130&_v=20230131135454,애플(ARM)  실리콘 M2 옥타코어(4+4),8,램 용량:8GB/ 램 교체: 불가능 /,13.6,34.5cm(13.6인치)/2560x1664/500nit/,내장그래픽 /M2 8 core/,256,SSD/256GB/,1.24,1399990
50,MSI,GF시리즈 Thin GF63 12VE-i5 16GB램,52.40,https://img.danawa.com/prod_img/500000/569/119/img/19119569_1.jpg?shrink=130:130&_v=20230406091053,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1058640
51,레노버,아이디어패드 Slim3-15IAU7 5D WIN11 16GB램,38.00,https://img.danawa.com/prod_img/500000/222/381/img/17381222_1.jpg?shrink=130:130&_v=20230228085122,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능(1슬롯) /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.63,663630
52,MSI,GF시리즈 Thin GF63 12VE-i5 WIN11 16GB램,52.40,https://img.danawa.com/prod_img/500000/289/120/img/19120289_1.jpg?shrink=130:130&_v=20230420091042,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1111430
53,MSI,GL시리즈 Pulse GL76 12UEOK,53.50,https://img.danawa.com/prod_img/500000/634/841/img/18841634_1.jpg?shrink=130:130&_v=20230406091136,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3060/TGP:105W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.66,1484460
54,MSI,GP시리즈 Vector GP77 13VG-i9 QHD WIN11 64GB램,65.00,https://img.danawa.com/prod_img/500000/697/120/img/19120697_1.jpg?shrink=130:130&_v=20230413091310,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,3044380
