id,제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
162,MSI,사이보그 15 A12VE-i5,53.50,https://img.danawa.com/prod_img/500000/350/074/img/19074350_1.jpg?shrink=130:130&_v=20230420090950,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:105W/VRAM:6GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1645000
163,레노버,요가 7 16IAH7 82UF003HKR,53.50,https://img.danawa.com/prod_img/500000/827/473/img/19473827_1.jpg?shrink=130:130&_v=20230322132716,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:40W/VRAM:6GB/,512,M.2(NVMe)/512GB/,1.98,1151030
164,레노버,요가 7 16IAH7 82UF0030KR,99.99,https://img.danawa.com/prod_img/500000/498/552/img/17552498_1.jpg?shrink=130:130&_v=20220728093717,인텔 코어i5-12세대 i5-12500H (2.5GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/4800MHz/ 램 교체: 불가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/400nit/,외장그래픽 /Arc A370M/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,2.16,1635660
165,MSI,GF시리즈 Sword GF66 A12UC-i5 블랙 WIN11,99.99,https://img.danawa.com/prod_img/500000/690/552/img/17552690_1.jpg?shrink=130:130&_v=20220818093613,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),32,LPDDR5(온보드)/램 용량:32GB/4800MHz/ 램 교체: 불가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/400nit/,외장그래픽 /Arc A370M/VRAM:4GB/,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,2.16,1989000
166,레노버,아이디어패드 Slim5 Pro 14ITL6 82L3004EKR,53.50,https://img.danawa.com/prod_img/500000/812/613/img/17613812_1.jpg?shrink=130:130&_v=20220808092729,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.25,990000
167,MSI,GF시리즈 GF63 Thin 11UD-i5 WIN11 16GB램,56.50,https://img.danawa.com/prod_img/500000/025/268/img/15268025_1.jpg?shrink=130:130&_v=20230420091646,인텔 코어i5-11세대 i5-1135G7 (2.4GHz) 쿼드(4)코어,8,DDR4/램 용량:8GB/3200MHz/,14,35.5cm(14인치)/2240x1400/300nit/,외장그래픽 /MX450/VRAM:2GB/,512,M.2(NVMe)/512GB/,1.45,680580
168,MSI,GF시리즈 Sword GF66 A12UC-i5 블랙,52.40,https://img.danawa.com/prod_img/500000/846/497/img/18497846_1.jpg?shrink=130:130&_v=20221214101335,인텔 코어i5-11세대 i5-11400H (2.7GHz) 헥사(6)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050 Ti/TGP:40W/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1005790
169,ASUS,ROG STRIX G16 G614JI-N4027,53.50,https://img.danawa.com/prod_img/500000/231/543/img/17543231_1.jpg?shrink=130:130&_v=20230413090746,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.25,890000
170,MSI,GF시리즈 Sword GF66 A12UC-i5 블랙 16GB램,90.00,https://img.danawa.com/prod_img/500000/795/160/img/19160795_1.jpg?shrink=130:130&_v=20230227140711,인텔 코어i7-13세대 i7-13650HX (2.6GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.50,2520630
171,에이서,스위프트 X SFX14-51G-56FV,53.50,https://img.danawa.com/prod_img/500000/193/679/img/18679193_1.jpg?shrink=130:130&_v=20230105151113,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.25,989990
