제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
한성컴퓨터,Bossmonster GTX63 T9X6Q16,73.00,https://img.danawa.com/prod_img/500000/578/209/img/19209578_1.jpg?shrink=130:130&_v=20230420165739,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.50,1760730
에이서,스위프트 GO 16 OLED SFG16-71-51BY,50.00,https://img.danawa.com/prod_img/500000/613/017/img/20017613_1.jpg?shrink=130:130&_v=20230511093333,인텔 코어i5-13세대 i5-13420H (2.1GHz) 옥타코어(4P+4E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,16,40.8cm(16인치)/3200x2000(WQHD+)/500nit/주사율:120Hz/,내장그래픽 / UHD Graphics /,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.60,977750
MSI,사이보그 15 A12VF,53.50,https://img.danawa.com/prod_img/500000/312/355/img/19355312_1.jpg?shrink=130:130&_v=20230330091708,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR5/램 용량:8GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1285000
한성컴퓨터,Bossmonster GTX73 N9X7Q24,73.00,https://img.danawa.com/prod_img/500000/280/210/img/19210280_1.jpg?shrink=130:130&_v=20230324173744,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,2088000
MSI,모던시리즈 모던 15 B12M-i5,39.30,https://img.danawa.com/prod_img/500000/517/810/img/19810517_1.jpg?shrink=130:130&_v=20230511092716,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),8,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/,1.70,550000
삼성전자,갤럭시북2 NT550XEZ-A58A 16GB램,43.00,https://img.danawa.com/prod_img/500000/064/578/img/17578064_1.jpg?shrink=130:130&_v=20220802084736,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,DDR4/램 용량:16GB/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,691960
LG전자,2022 그램16(12세대) 16ZD95Q-GX56K WIN11,80.00,https://img.danawa.com/prod_img/500000/244/634/img/18634244_1.jpg?shrink=130:130&_v=20230223092225,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1263080
레노버,요가 Slim7 ProX 14IAH7 82TK009TKR,70.00,https://img.danawa.com/prod_img/500000/479/578/img/19578479_1.jpg?shrink=130:130&_v=20230413091510,인텔 코어i5-12세대 i5-12500H (2.5GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/5200MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,1399000
에이서,프레데터 Helios Neo 16 PHN16-71 4060,90.00,https://img.danawa.com/prod_img/500000/224/530/img/19530224_1.jpg?shrink=130:130&_v=20230419111515,인텔 코어i7-13세대 i7-13700HX (2.1GHz)  16코어(8P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.8cm(16인치)/2560x1600(WQXGA)/500nit/주사율:165Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1760730
LG전자,2022 그램15(12세대) 15ZD95Q-GX56K WIN11,80.00,https://img.danawa.com/prod_img/500000/613/631/img/18631613_1.jpg?shrink=130:130&_v=20230209091735,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.14,1156400
LG전자,2023 울트라PC 15UD40R-GX36K 16GB램,49.00,https://img.danawa.com/prod_img/500000/720/244/img/19244720_1.jpg?shrink=130:130&_v=20230525091710,AMD 라이젠3(Zen3)  7330U (2.3Hz)  쿼드(4)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / Radeon Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.75,561340
한성컴퓨터,Bossmonster GTX73 N9X6Q24,73.00,https://img.danawa.com/prod_img/500000/139/210/img/19210139_1.jpg?shrink=130:130&_v=20230324173546,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,1786000
에이서,프레데터 Helios 18 PH18-71 4070,90.00,https://img.danawa.com/prod_img/500000/186/160/img/19160186_1.jpg?shrink=130:130&_v=20230302091453,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/2560x1600(WQXGA)/300nit/주사율:165Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,3.16,2690000
MSI,모던시리즈 모던 14 C7M-R5,39.30,https://img.danawa.com/prod_img/500000/165/475/img/19475165_1.jpg?shrink=130:130&_v=20230504091642,AMD 라이젠5(Zen3)  7530U (2.0Hz)  헥사(6)코어,8,DDR4(온보드)/램 용량:8GB/3200MHz/ 램 교체: 불가능 /,14,35.5cm(14인치)/1920x1080(FHD)/300nit/,내장그래픽 / Radeon Graphics /,512,M.2(NVMe)/512GB/,1.40,548990
MSI,GP시리즈 Vector GP66 12UEO QHD OLED WIN11 16GB램,65.00,https://img.danawa.com/prod_img/500000/943/922/img/18922943_1.jpg?shrink=130:130&_v=20230330091116,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1501550
LG전자,2023 그램16 16ZD90R-GX56K,80.00,https://img.danawa.com/prod_img/500000/439/799/img/18799439_1.jpg?shrink=130:130&_v=20230223092448,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1478830
삼성전자,갤럭시북3 NT750XFT-A71A,54.00,https://img.danawa.com/prod_img/500000/218/959/img/19959218_1.jpg?shrink=130:130&_v=20230511093240,인텔 코어i7-13세대 i7-1355U (1.7GHz) 10코어(2P+8E),16,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / Iris Xe /,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.57,1249000
MSI,GF시리즈 Sword GF76 B13VFK WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/849/109/img/19109849_1.jpg?shrink=130:130&_v=20230309090407,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:105W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.60,1686700
삼성전자,갤럭시북3 프로 NT940XFT-A51A,63.00,https://img.danawa.com/prod_img/500000/935/906/img/18906935_1.jpg?shrink=130:130&_v=20230228083944,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,14,35.6cm(14인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.17,1486690
ASUS,젠북 15 UM3504DA-BN144,67.00,https://img.danawa.com/prod_img/500000/928/239/img/20239928_1.jpg?shrink=130:130&_v=20230601091120,AMD 라이젠5(Zen3+)  7535U (2.9Hz)  헥사(6)코어,16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Radeon 660M /,512,M.2(NVMe)/512GB/,1.50,1124560
MSI,GT시리즈 Titan GT77 HX 13VI-i9 4K Mini LED W11,99.90,https://img.danawa.com/prod_img/500000/340/033/img/19033340_1.jpg?shrink=130:130&_v=20230223144756,인텔 코어i9-13세대 i9-13980HX (2.2GHz)  24코어(8P+16E),64,DDR5/램 용량:64GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/3840x2160(4K UHD)/1000nit/주사율:144Hz/,외장그래픽 /RTX4090/TGP:175W/VRAM:16GB/MUX 스위치/,4000,M.2(NVMe)/4TB/저장 슬롯:3개/,3.30,6790000
삼성전자,갤럭시북3 프로 NT940XFG-KD72G,63.00,https://img.danawa.com/prod_img/500000/220/132/img/19132220_1.jpg?shrink=130:130&_v=20230518093704,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),32,LPDDR5(온보드)/램 용량:32GB/ 램 교체: 불가능 /,14,35.6cm(14인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,1.17,2299000
LG전자,2022 그램17(12세대) 17ZD90Q-EX56K,90.00,https://img.danawa.com/prod_img/500000/905/635/img/16635905_1.jpg?shrink=130:130&_v=20221114135729,인텔 코어i5-12세대 i5-1240P (1.7GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/5200MHz/ 램 교체: 불가능 /,17,43.1cm(17인치)/2560x1600(WQXGA)/350nit/,외장그래픽 /RTX2050/VRAM:4GB/,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.44,1518510
MSI,GP시리즈 Vector GP68 HX 12VH-i9 QHD,90.00,https://img.danawa.com/prod_img/500000/860/166/img/20166860_1.jpg?shrink=130:130&_v=20230525092229,인텔 코어i9-12세대  i9-12900HX (2.3GHz)   16코어(8P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4080/TGP:165W/VRAM:12GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.67,3240000
APPLE,2023 맥북프로14 MPHE3KH/A,70.00,https://img.danawa.com/prod_img/500000/333/788/img/18788333_1.jpg?shrink=130:130&_v=20230131140943,애플(ARM)   실리콘 M2 Pro  10코어,16,램 용량:16GB/ 램 교체: 불가능 /,14.2,35.9cm(14.2인치)/3024x1964/1000nit/주사율:120Hz/,내장그래픽 / M2 Pro 16core /,512,SSD/512GB/,1.60,2500000
HP,오멘 16-n0094AX,83.00,https://img.danawa.com/prod_img/500000/838/501/img/19501838_1.jpg?shrink=130:130&_v=20230406090425,AMD 라이젠7-5세대 6800H (3.2GHz) 옥타(8)코어,16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16.1,40.9cm(16.1인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/논 옵티머스/,512,M.2(NVMe)/512GB/,2.35,1698000
MSI,사이보그 15 A12VF 32GB램,53.50,https://img.danawa.com/prod_img/500000/747/424/img/19424747_1.jpg?shrink=130:130&_v=20230427092039,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1355000
삼성전자,갤럭시북3 프로 NT960XFG-KD72E,76.00,https://img.danawa.com/prod_img/500000/499/132/img/19132499_1.jpg?shrink=130:130&_v=20230601092337,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),32,LPDDR5(온보드)/램 용량:32GB/ 램 교체: 불가능 /,16,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,1.56,2489000
레노버,요가 Slim7 Carbon 14ACN6 82L0004YKR,61.00,https://img.danawa.com/prod_img/500000/227/167/img/16167227_1.jpg?shrink=130:130&_v=20220228152227,AMD 라이젠7-4세대 5800U (1.9GHz) 옥타(8)코어,16,LPDDR4x(온보드) /램 용량:16GB/4266MHz/ 램 교체: 불가능 /,14,35.56cm(14인치)/2880x1800(WQXGA+)/600nit/주사율:90Hz/,외장그래픽 /MX450/VRAM:2GB/,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,1.09,1228920
한성컴퓨터,TFG6397,97.50,https://img.danawa.com/prod_img/500000/899/455/img/19455899_1.jpg?shrink=130:130&_v=20230428123446,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.60,2250090
에이서,프레데터 Helios 18 PH18-71 4080,90.00,https://img.danawa.com/prod_img/500000/438/160/img/19160438_1.jpg?shrink=130:130&_v=20230302091647,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4080/TGP:175W/VRAM:12GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,3.16,3790000
MSI,GP시리즈 Vector GP66 12UEO QHD OLED WIN11 32GB램,65.00,https://img.danawa.com/prod_img/500000/868/922/img/18922868_1.jpg?shrink=130:130&_v=20230223132755,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1602170
ASUS,ROG STRIX G18 G814JV-N5002,90.00,https://img.danawa.com/prod_img/500000/708/139/img/19139708_1.jpg?shrink=130:130&_v=20230406090141,인텔 코어i7-13세대 i7-13650HX (2.6GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/1920x1200(WUXGA)/300nit/주사율:165Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,3.00,2199000
LG전자,2022 울트라PC 15UD50Q-GX50K,49.00,https://img.danawa.com/prod_img/500000/676/353/img/17353676_1.jpg?shrink=130:130&_v=20220721092416,인텔 코어i5-12세대 i5-1240P (1.7GHz) 12코어(4P+8E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,748970
MSI,GF시리즈 Sword GF76 A12UC 포스,53.50,https://img.danawa.com/prod_img/500000/123/827/img/18827123_1.jpg?shrink=130:130&_v=20230406090744,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.60,1099000
LG전자,2023 그램16 16ZD90R-GX56K WIN11,80.00,https://img.danawa.com/prod_img/500000/487/919/img/18919487_1.jpg?shrink=130:130&_v=20230406090702,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1506190
MSI,GF시리즈 Thin GF63 12VE-i5 16GB램,52.40,https://img.danawa.com/prod_img/500000/569/119/img/19119569_1.jpg?shrink=130:130&_v=20230406091053,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1057360
한성컴퓨터,Bossmonster GTX73 N9X6Q24W,73.00,https://img.danawa.com/prod_img/500000/205/210/img/19210205_1.jpg?shrink=130:130&_v=20230324173559,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,1936000
MSI,GP시리즈 Vector GP77 13VG-i9 QHD,65.00,https://img.danawa.com/prod_img/500000/977/053/img/19053977_1.jpg?shrink=130:130&_v=20230309090937,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,2811560
레노버,요가 Slim7 ProX 14ARH7 82TL003SKR,70.00,https://img.danawa.com/prod_img/500000/858/549/img/17549858_1.jpg?shrink=130:130&_v=20221223080703,AMD 라이젠7-5세대 6800HS (3.2GHz) 옥타(8)코어,32,LPDDR5(온보드)/램 용량:32GB/6400MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,1399000
삼성전자,갤럭시북3 프로360 NT960QFG-K71AR,76.00,https://img.danawa.com/prod_img/500000/185/909/img/18909185_1.jpg?shrink=130:130&_v=20230209092904,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),32,LPDDR5(온보드)/램 용량:32GB/ 램 교체: 불가능 /,16,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,1.66,2647890
레노버,아이디어패드 Slim3-15IAU7 5D WIN11 16GB램,38.00,https://img.danawa.com/prod_img/500000/222/381/img/17381222_1.jpg?shrink=130:130&_v=20230228085122,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능(1슬롯) /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.63,663630
한성컴퓨터,TFG6396W,97.50,https://img.danawa.com/prod_img/500000/854/455/img/19455854_1.jpg?shrink=130:130&_v=20230601092451,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.60,2130000
MSI,Stealth 15 A13VF 4K WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/106/123/img/19123106_1.jpg?shrink=130:130&_v=20230223140253,인텔 코어i7-13세대 i7-13620H (2.4GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/3840x2160(4K UHD)/400nit/주사율:120Hz/,외장그래픽 /RTX4060/TGP:90W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.10,2252230
에이서,스위프트 X 14.5 OLED Studio SFX14-71G 4050,76.00,https://img.danawa.com/prod_img/500000/962/019/img/20019962_1.jpg?shrink=130:130&_v=20230516130554,인텔 코어i7-13세대 i7-13700H (2.4GHz)  14코어(6P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/2880x1800(WQXGA+)/500nit/주사율:120Hz/,외장그래픽 /RTX4050/TGP:50W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.55,1698990
MSI,프레스티지 15 A12UC,82.00,https://img.danawa.com/prod_img/500000/911/611/img/16611911_1.jpg?shrink=130:130&_v=20220404123619,인텔 코어i7-12세대 i7-1280P (1.8GHz)  14코어(6P+8E),16,LPDDR4x(온보드) /램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/300nit/,외장그래픽 /RTX3050/TGP:40W/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.69,1490000
MSI,GF시리즈 Thin GF63 12VE,52.40,https://img.danawa.com/prod_img/500000/879/169/img/19169879_1.jpg?shrink=130:130&_v=20230309090456,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1209970
MSI,GP시리즈 Vector GP66 12UEO QHD OLED 32GB램,65.00,https://img.danawa.com/prod_img/500000/595/922/img/18922595_1.jpg?shrink=130:130&_v=20230302090912,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1462990
삼성전자,갤럭시북2 프로 NT950XEW-A51A WIN10,68.00,https://img.danawa.com/prod_img/500000/634/819/img/16819634_1.jpg?shrink=130:130&_v=20220413152411,인텔 코어i5-12세대 i5-1240P (1.7GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.11,1348250
MSI,사이보그 15 A12VF WIN11 32GB램,53.50,https://img.danawa.com/prod_img/500000/666/424/img/19424666_1.jpg?shrink=130:130&_v=20230406091221,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4060/TGP:45W/VRAM:8GB/,512,M.2(NVMe)/512GB/,1.98,1445000
MSI,GF시리즈 GF63 Thin 11UD-i5 16GB램,52.40,https://img.danawa.com/prod_img/500000/541/677/img/17677541_1.jpg?shrink=130:130&_v=20230511092408,인텔 코어i5-11세대 i5-11400H (2.7GHz) 헥사(6)코어,16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050 Ti/TGP:40W/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,945630
MSI,Stealth 17 Studio A13VH-i9 4K Mini LED W11,99.90,https://img.danawa.com/prod_img/500000/473/053/img/19053473_1.jpg?shrink=130:130&_v=20230601091659,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),32,DDR5/램 용량:32GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/3840x2160(4K UHD)/1000nit/주사율:144Hz/,외장그래픽 /RTX4080/TGP:105W/VRAM:12GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,4164660
삼성전자,갤럭시북3 NT750XFS-G51A,54.00,https://img.danawa.com/prod_img/500000/334/846/img/19846334_1.jpg?shrink=130:130&_v=20230511093100,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/ 램 교체: 불가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,외장그래픽 /Arc A350M/VRAM:4GB/,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.60,1144130
한성컴퓨터,TFG5277XGW,62.32,https://img.danawa.com/prod_img/500000/417/820/img/16820417_1.jpg?shrink=130:130&_v=20230410104308,인텔 코어i7-12세대 i7-12700H (2.3GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,15.6,39.62cm(15.6인치)/2560x1440(QHD)/300nit/주사율:165Hz/,외장그래픽 /RTX3070 Ti/TGP:150W/VRAM:8GB/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,1.70,1948000
