제조사,이름,배터리,이미지,cpu,램 용량,램 상세,화면크기,화면상세,그래픽,저장용량,저장용량 상세,무게,가격
MSI,GP시리즈 Vector GP77 13VG-i9 QHD,90.00,https://img.danawa.com/prod_img/500000/438/160/img/19160438_1.jpg?shrink=130:130&_v=20230302091647,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4080/TGP:175W/VRAM:12GB/논 옵티머스/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,3.16,3790000
레노버,요가 Slim7 ProX 14ARH7 82TL003SKR,65.00,https://img.danawa.com/prod_img/500000/868/922/img/18922868_1.jpg?shrink=130:130&_v=20230223132755,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),32,DDR5/램 용량:32GB/4800MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/2560x1440(QHD)/400nit/주사율:240Hz/,외장그래픽 /RTX3060/TGP:140W/VRAM:6GB/논 옵티머스/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,2.38,1602170
삼성전자,갤럭시북3 프로360 NT960QFG-K71AR,90.00,https://img.danawa.com/prod_img/500000/708/139/img/19139708_1.jpg?shrink=130:130&_v=20230406090141,인텔 코어i7-13세대 i7-13650HX (2.6GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,18,45.72cm(18인치)/1920x1200(WUXGA)/300nit/주사율:165Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,3.00,2199000
레노버,아이디어패드 Slim3-15IAU7 5D WIN11 16GB램,49.00,https://img.danawa.com/prod_img/500000/676/353/img/17353676_1.jpg?shrink=130:130&_v=20220721092416,인텔 코어i5-12세대 i5-1240P (1.7GHz) 12코어(4P+8E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/,내장그래픽 / UHD Graphics /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.80,748970
한성컴퓨터,TFG6396W,53.50,https://img.danawa.com/prod_img/500000/123/827/img/18827123_1.jpg?shrink=130:130&_v=20230406090744,인텔 코어i7-12세대 i7-12650H (2.3GHz) 10코어(6P+4E),8,DDR4/램 용량:8GB/3200MHz/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX3050/TGP:60W/VRAM:4GB/,512,M.2(NVMe)/512GB/,2.60,1099000
MSI,Stealth 15 A13VF 4K WIN11 32GB램,80.00,https://img.danawa.com/prod_img/500000/487/919/img/18919487_1.jpg?shrink=130:130&_v=20230406090702,인텔 코어i5-13세대 i5-1340P (1.9GHz) 12코어(4P+8E),16,LPDDR5(온보드)/램 용량:16GB/6000MHz/ 램 교체: 불가능 /,16,40.6cm(16인치)/2560x1600(WQXGA)/350nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.20,1506190
에이서,스위프트 X 14.5 OLED Studio SFX14-71G 4050,52.40,https://img.danawa.com/prod_img/500000/569/119/img/19119569_1.jpg?shrink=130:130&_v=20230406091053,인텔 코어i5-12세대 i5-12450H (2.0GHz) 옥타코어(4P+4E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능 /,15.6,39.6cm(15.6인치)/1920x1080(FHD)/250nit/주사율:144Hz/,외장그래픽 /RTX4050/TGP:45W/VRAM:6GB/,512,M.2(NVMe)/512GB/저장 슬롯:2개/,1.77,1057360
MSI,프레스티지 15 A12UC,73.00,https://img.danawa.com/prod_img/500000/205/210/img/19210205_1.jpg?shrink=130:130&_v=20230324173559,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,17.3,43.94cm(17.3인치)/2560x1440(QHD)/300nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.80,1936000
MSI,GF시리즈 Thin GF63 12VE,65.00,https://img.danawa.com/prod_img/500000/977/053/img/19053977_1.jpg?shrink=130:130&_v=20230309090937,인텔 코어i9-13세대 i9-13900H (2.6GHz)  14코어(6P+8E),16,DDR5/램 용량:16GB/ 램 교체: 가능 /,17.3,43.9cm(17.3인치)/2560x1440(QHD)/500nit/주사율:240Hz/,외장그래픽 /RTX4070/TGP:140W/VRAM:8GB/MUX 스위치/,1000,M.2(NVMe)/1TB/저장 슬롯:2개/,2.80,2811560
MSI,GP시리즈 Vector GP66 12UEO QHD OLED 32GB램,70.00,https://img.danawa.com/prod_img/500000/858/549/img/17549858_1.jpg?shrink=130:130&_v=20221223080703,AMD 라이젠7-5세대 6800HS (3.2GHz) 옥타(8)코어,32,LPDDR5(온보드)/램 용량:32GB/6400MHz/ 램 교체: 불가능 /,14.5,36.8cm(14.5인치)/3072x1920/400nit/주사율:120Hz/,외장그래픽 /RTX3050/VRAM:4GB/,512,M.2(NVMe)/512GB/저장 슬롯:1개/,1.45,1399000
삼성전자,갤럭시북2 프로 NT950XEW-A51A WIN10,76.00,https://img.danawa.com/prod_img/500000/185/909/img/18909185_1.jpg?shrink=130:130&_v=20230209092904,인텔 코어i7-13세대 i7-1360P (2.2GHz) 12코어(4P+8E),32,LPDDR5(온보드)/램 용량:32GB/ 램 교체: 불가능 /,16,40.6cm(16인치)/2880x1800(WQXGA+)/400nit/주사율:120Hz/,내장그래픽 / Iris Xe /,1000,M.2(NVMe)/1TB/저장 슬롯:1개/,1.66,2647890
MSI,사이보그 15 A12VF WIN11 32GB램,38.00,https://img.danawa.com/prod_img/500000/222/381/img/17381222_1.jpg?shrink=130:130&_v=20230228085122,인텔 코어i5-12세대 i5-1235U (1.3GHz) 10코어(2P+8E),16,DDR4/램 용량:16GB/3200MHz/ 램 교체: 가능(1슬롯) /,15.6,39.62cm(15.6인치)/1920x1080(FHD)/300nit/,내장그래픽 / Iris Xe /,256,M.2(NVMe)/256GB/저장 슬롯:2개/,1.63,663630
MSI,GF시리즈 GF63 Thin 11UD-i5 16GB램,97.50,https://img.danawa.com/prod_img/500000/854/455/img/19455854_1.jpg?shrink=130:130&_v=20230601092451,인텔 코어i9-13세대 i9-13900HX (2.2GHz)  24코어(8P+16E),16,DDR5/램 용량:16GB/4800MHz/ 램 교체: 가능 /,16,40.64cm(16인치)/2560x1600(WQXGA)/500nit/주사율:240Hz/,외장그래픽 /RTX4060/TGP:140W/VRAM:8GB/MUX 스위치/,500,M.2(NVMe)/500GB/저장 슬롯:2개/,2.60,2130000
